site,rsq,rmse,slope,bias,nvals
AR-Vir,0.3661587500443316,5.0314596761420365,0.8258458760506006,-3.6966642262145433,746
AU-Ade,0.6634293961624488,2.2584729162967063,1.4003545460984397,-1.4700117418060445,532
AU-ASM,0.23039362383099027,0.7955919769050366,0.3725932362397071,0.6782155258458012,952
AU-DaP,0.7346760085180487,2.397574287596469,1.5095777671346686,0.4880619340881263,1819
AU-DaS,0.5888008963591983,1.5646658031644516,1.070634974103134,-0.9882486790229087,2228
AU-Dry,0.7574537393248477,0.8378528039865448,1.0860459293470661,-0.21074471102115652,1599
AU-Gin,0.425648381144483,1.03288236626104,0.6590639135312215,0.11854035468370273,941
AU-Stp,0.7174391268940157,1.0036876480457744,1.0618506009350845,0.645985269263195,1950
AU-Whr,0.6319888814557175,0.9991038383460791,0.8384016144694719,-0.6597123275711348,1064
AU-Wom,0.750467014096714,2.3482485014813643,0.5415921315146016,0.6123527362135575,934
BE-Vie,0.772659235030832,2.0298248562805026,0.9736897357230989,-0.9743094550436593,4906
CH-Fru,0.7388444762161499,2.8493871759145675,1.0363599708080338,-1.1169967057752688,2859
CH-Lae,0.6778540065328871,2.659702209567159,0.7400743592068055,0.036476498191799565,3549
CH-Oe1,0.6139177734492539,3.159861487737772,1.1187962399699738,-1.6386686917286342,2182
CN-Cng,0.6396247416547036,0.8456193290366686,1.0115735928909135,-0.22960369383201443,1070
CN-Qia,0.7175639991738201,1.8822344790104535,0.9852391452762678,-1.2425082617296577,994
DE-Gri,0.7426745654766896,2.1161343194608295,0.9694619581678003,-0.48120424373386217,3639
DE-Hai,0.7640969394392677,2.4643416837128305,1.1411261587740988,-0.45353427483821934,4243
DE-Obe,0.7854981314556233,2.360511579108542,1.1185701441052491,-1.1370936149123811,2259
DE-RuR,0.7249341711670895,2.0562165784295625,0.8907973796626485,-0.42730208400920383,1226
DE-Tha,0.7906925142332589,2.2983250896894187,1.0563237653347692,-1.206241351066317,5137
DK-Sor,0.8168537421419552,3.2112985410967916,1.3550497094383467,-1.5836944477348505,4932
FI-Hyy,0.7879599298211898,1.5704778212245756,0.8680314464184231,0.003350212716423225,4853
FR-Fon,0.7270569260636837,2.676078055705076,1.1364712278826061,-0.4910371059760104,3260
FR-LBr,0.6868256691618646,1.9406605666033412,0.8549194724365353,-0.8526924158748564,2812
FR-Pue,0.5033613590043782,2.4871993436985336,0.4866905901659456,1.5412614003372571,4721
IT-Col,0.7883125672269448,2.453654869857709,0.8895222294174022,1.1349256517821833,3348
IT-Cp2,0.5022212124514205,2.5496979556463124,0.4257811294954171,0.6763963252660891,764
IT-Isp,0.7679369487632353,2.9782168018556807,1.287725281620019,-1.260769901634309,641
IT-Lav,0.6698674216106143,2.5268113996069803,0.8258936692171033,-0.8375716553009536,3944
IT-MBo,0.8350445732131425,1.721349198518964,1.0374935500670093,-0.1352062442567375,3679
IT-Noe,0.5396559163825771,1.27391082317251,0.7028654847934396,0.4617233194856053,3068
IT-PT1,0.8312797328257955,2.6328114187665608,1.3946088889661523,-1.3492723583428405,890
IT-Ren,0.7264470634362397,1.978662165541563,0.8063902548153391,0.2136965545274039,3403
IT-SR2,0.7960926071207335,1.784140219709832,0.9779684814514222,-0.946346507443523,675
IT-SRo,0.6942782237104779,1.6791046235156468,0.7994758147788397,-0.44103085834057293,3793
IT-Tor,0.8483997942348958,1.5237176307892661,0.8350044763618241,0.7030293777659958,2171
JP-SMF,0.5174119976027742,2.099137575951654,0.7348114195565513,0.6890545681365824,1330
NL-Hor,0.7697379684985279,1.7251821051360154,0.919879908325658,-0.22794887457006743,2187
NL-Loo,0.7509644272237992,1.8469289820728858,1.0140714400768605,-0.9749467972731589,4667
RU-Fyo,0.7367232215453563,2.094153138850734,0.9714635228504619,-0.558239121440804,4631
SD-Dem,0.6101097182233235,1.919297058189333,3.0084876865904815,-1.0212623888290286,769
SN-Dhr,0.6797735427376712,4.49399534586396,2.8263648339861556,-2.8325159455758997,687
US-GLE,0.7583232642440209,1.1838602940101042,1.1264052272513996,-0.01862429257563654,3132
US-Ha1,0.6940615732327282,2.771004563006409,0.9847327507478404,0.6911198100910354,3928
US-Me2,0.6325902780009224,1.922625927327605,0.8890238886254619,-0.47647986261628755,3579
US-MMS,0.775393394569425,2.4886355103406417,1.0780049737392186,0.5555828211742689,4861
US-SRG,0.5054710391634825,0.7598159349220968,0.9295364461721741,0.5647269944201172,2115
US-SRM,0.45237040671617046,0.757224122524972,0.7444475978452008,0.6470712198271924,3351
US-Syv,0.7781273785248399,2.21781939302838,0.8050345444006178,0.6780372569796418,2364
US-Ton,0.6336796625297861,1.4137363730275168,0.6887923379392088,0.7784842604823472,4334
US-UMB,0.8100514590432795,1.8992215685170843,0.9543125048252966,0.3912453691228559,5095
US-UMd,0.769460896372357,2.135365838779436,0.991504217408195,0.01753099418507062,2543
US-Var,0.3174831132046362,2.6247980149762498,0.4965430299626402,1.8952870250131215,4355
US-WCr,0.7811271078887686,2.2733027278480673,0.8946029724466937,0.8994316166515873,3422
US-Wi4,0.6671583099954956,2.3789152687510096,0.6283846301651443,0.2775247623064578,718
ZM-Mon,0.33979930396091784,2.5702042130874174,0.8869634607316073,-1.3916445042357717,643
AALL,0.6992346431283508,2.1839538098769635,0.9590876800380356,-0.12361568351366128,150494
