,Site,R2
0,AU-ASM,0.75667023649171
1,AU-DaP,0.8247773154743461
2,AU-DaS,0.5622996783009471
3,AU-Fog,0.7322548259782782
4,AU-How,0.6361405840017544
5,AU-Stp,0.6455920943311738
6,AU-Whr,0.49255422209078137
7,AU-Wom,0.7224527739317915
8,BE-Bra,0.8081761024836882
9,BE-Vie,0.8619822649079942
10,CH-Fru,0.7723110578169121
11,CH-Lae,0.7233162159290701
12,CH-Oe1,0.639230252001874
13,CN-Qia,0.7643835774581926
14,CZ-wet,0.847572418738996
15,DE-Geb,0.6781600735105453
16,DE-Gri,0.7806673439279365
17,DE-Hai,0.9282044681738094
18,DE-Kli,0.6840452414933584
19,DE-Obe,0.8716012380198737
20,DE-RuR,0.799481041544861
21,DE-Spw,0.9333018985697831
22,DE-Tha,0.8819922321142976
23,DK-Sor,0.9316526706019546
24,FI-Hyy,0.9353469888152846
25,FI-Sod,0.8875316711288478
26,FR-Fon,0.9023582988499343
27,FR-LBr,0.7358569468233143
28,FR-Pue,0.46224253473956567
29,IT-Cp2,0.5567357657170657
30,IT-Isp,0.9133637073507447
31,IT-Lav,0.7346113879024078
32,IT-MBo,0.8749686834573056
33,IT-Noe,0.41699770173795747
34,IT-PT1,0.9207191609656447
35,IT-SR2,0.7703240798144877
36,IT-SRo,0.6040394738473429
37,IT-Tor,0.8472053050399939
38,JP-SMF,0.6756879431756568
39,NL-Hor,0.8509023919042729
40,NL-Loo,0.8379689854843299
41,RU-Fyo,0.866400530778326
42,US-GLE,0.7496726221924292
43,US-Ha1,0.8825775104417121
44,US-Me2,0.7055367639700528
45,US-MMS,0.9272566455159768
46,US-PFa,0.8072673401045107
47,US-SRG,0.8377413341334977
48,US-SRM,0.802011909208644
49,US-Ton,0.6685309816189224
50,US-UMB,0.9221429930227862
51,US-UMd,0.9209173297843007
52,US-Var,0.3786929487317666
