Namespace(gpu='2', n_dilations=4, n_epochs=50, n_residuals=2)
Site: AR-Vir R2: -2.0246217250823975
Site: AU-Ade R2: -0.456943154335022
Site: AU-ASM R2: 0.07939010858535767
Site: AU-DaP R2: -0.1750783920288086
Site: AU-DaS R2: 0.7734701037406921
Site: AU-Dry R2: 0.9118551015853882
Site: AU-Fog R2: 0.792020320892334
Site: AU-Gin R2: 0.7511221766471863
Site: AU-How R2: 0.8447557687759399
Site: AU-Stp R2: 0.4033675193786621
Site: AU-Whr R2: 0.8656511306762695
Site: AU-Wom R2: 0.596369743347168
Site: BE-Bra R2: 0.96004319190979
Site: CH-Fru R2: 0.8424592018127441
Site: CH-Lae R2: 0.935877799987793
Site: CH-Oe1 R2: 0.8748027086257935
Site: CN-Cng R2: 0.8437427282333374
Site: CN-Qia R2: 0.9058517813682556
Site: CZ-wet R2: 0.9162958860397339
Site: DE-Geb R2: 0.8844342231750488
Site: DE-Gri R2: -0.2368220090866089
Site: DE-Hai R2: -7.062044143676758
Site: DE-Kli R2: 0.8204469084739685
Site: DE-Obe R2: 0.8201018571853638
Site: DE-RuR R2: -0.29867398738861084
Site: DE-Spw R2: 0.8301193714141846
Site: DE-Tha R2: 0.728020429611206
Site: DK-NuF R2: 0.6824005246162415
Site: DK-Sor R2: 0.9256573915481567
Site: FI-Hyy R2: 0.16456544399261475
Site: FI-Sod R2: -0.006936788558959961
Site: FR-Fon R2: 0.7707341313362122
Site: FR-LBr R2: 0.651425302028656
Site: FR-Pue R2: 0.6584887504577637
Site: IT-Col R2: 0.9309842586517334
Site: IT-Cp2 R2: 0.27889513969421387
Site: IT-Cpz R2: 0.9382880926132202
Site: IT-Isp R2: 0.9141331911087036
Site: IT-Noe R2: 0.7346822619438171
Site: IT-PT1 R2: 0.575566828250885
Site: IT-Ren R2: -0.2667834758758545
Site: IT-SR2 R2: 0.8208935260772705
Site: IT-SRo R2: 0.8762407898902893
Site: IT-Tor R2: 0.8454461693763733
Site: JP-SMF R2: -0.24973273277282715
Site: NL-Hor R2: 0.8068194389343262
Site: NL-Loo R2: 0.19612407684326172
Site: RU-Fyo R2: 0.9109161496162415
Site: SD-Dem R2: 0.7187579870223999
Site: SN-Dhr R2: 0.6875948309898376
Site: US-GLE R2: 0.5376091599464417
Site: US-Ha1 R2: 0.8641915917396545
Site: US-Los R2: 0.7967821359634399
Site: US-Me2 R2: -0.2329031229019165
Site: US-MMS R2: -1.2287068367004395
Site: US-PFa R2: 0.9065285921096802
Site: US-SRG R2: 0.32059967517852783
Site: US-SRM R2: 0.9292582869529724
Site: US-Syv R2: 0.9721158742904663
Site: US-Ton R2: 0.7182542681694031
Site: US-UMB R2: 0.9102396368980408
Site: US-UMd R2: -1.05995512008667
Site: US-Var R2: 0.797619640827179
Site: US-WCr R2: 0.6910360455513
Site: US-Wi4 R2: -0.6990242004394531
Site: ZM-Mon R2: 0.5413640737533569
r2_all [0.8014950752258301]
